Date,Open,High,Low,Close,Volume,Label,News
2015-02-12,247.71,248.48,248.5,246.32,66300,1,0.435986159
2015-02-13,249.76,248.65,249.76,248.26,63100,1,0.501683502
2015-02-16,249.81,250.17,250.55,249.54,52100,0,0.655913978
2015-02-17,250.37,249.36,250.67,248.92,55600,1,0.63255814
2015-02-23,250.8,252.13,252.51,250.56,58900,1,0.823529412
2015-02-24,251.28,251.83,252.11,251.09,61600,1,0.465517241
2015-02-25,252.96,252.72,253.22,252.01,79600,0,0.591111111
2015-02-26,252.93,253.03,253.13,251.89,79300,0,0.741935484
2015-02-27,251.46,252.73,252.83,251.2,80200,1,0.480825959
2015-03-02,253.65,253.13,253.74,252.39,92800,1,0.508442777
2015-03-03,254.5,254.55,254.97,253.89,87500,0,0.518599562
2015-03-04,254.31,254.56,254.72,253.89,72300,0,0.550102249
2015-03-05,254.16,254.02,254.86,253.64,58400,1,0.475336323
2015-03-06,255.96,254.74,256.15,254.73,83100,0,0.475923852
2015-03-09,252.77,254.81,254.94,252.69,65400,0,0.513461538
2015-03-10,251.75,253.76,254.16,251.75,76300,0,0.627160494
2015-03-11,252.16,250.09,252.66,250.09,79600,1,0.519911504
2015-03-12,250.28,251.67,253.23,250.28,98600,1,0.478753541
2015-03-13,252.18,252.56,253.31,251.98,66600,0,0.560292326
2015-03-16,252.44,252.13,253.2,251.56,72800,1,0.50984252
2015-03-17,258.18,253.77,258.19,253.7,85100,1,0.573195876
2015-03-18,258.22,258.45,259.19,257.87,85300,1,0.470899471
2015-03-19,258.99,260.68,260.68,258.37,120600,0,0.508510638
2015-03-20,258.7,258.92,259.32,257.42,81300,1,0.518472906
2015-03-23,258.95,259.48,259.88,258.16,84400,0,0.603603604
2015-03-24,259.16,258.58,259.34,257.56,71400,1,0.549107143
2015-03-25,258.94,259.35,259.84,258.38,84700,0,0.564102564
2015-03-26,255.99,256.69,258.08,255.81,78100,0,0.59025788
2015-03-27,255.54,256.41,256.73,255.1,72600,0,0.628058728
2015-03-30,256.1,256.45,256.57,254.91,68900,1,0.527667984
2015-03-31,257.28,257.66,258.43,256.16,83400,0,0.441758242
2015-04-01,254.97,256.44,256.75,254.74,83000,0,0.468325792
2015-04-02,254.99,256.07,256.37,254.7,76700,1,0.572755418
2015-04-03,256.75,255.77,256.92,255.05,67500,1,0.615101289
2015-04-06,256.93,257.2,258.43,256.34,79300,1,0.67264574
2015-04-07,256.88,258.65,258.68,256.61,74900,1,0.606126915
2015-04-08,258.51,257.09,258.81,256.83,99600,1,0.492481203
2015-04-09,258.33,258.44,259.21,257.61,85900,1,0.529585799
2015-04-10,261.95,259.35,262.2,259.2,104400,1,0.752166378
2015-04-13,263.48,262.62,263.75,262.11,123200,1,0.820224719
2015-04-14,265.57,263.81,265.6,263.2,151000,1,0.60840708
2015-04-15,265.77,265.76,266.41,264.93,111900,1,0.678111588
2015-04-16,268.45,267.67,268.45,266.42,113900,1,0.501886792
2015-04-17,268.28,268.73,268.81,267.42,90500,0,0.647988506
2015-04-20,268.55,266.14,268.59,266.14,100100,1,0.554054054
2015-04-21,268.17,269.03,269.13,267.56,102400,0,0.540275049
2015-04-22,268.64,268.2,270.65,267.22,136200,1,0.606382979
2015-04-23,272.59,270.27,272.78,268.85,134600,1,0.54028436
2015-04-24,271.05,273.81,275.11,270.33,144000,0,0.645997745
2015-04-27,270.05,272.16,272.29,269.29,92800,0,0.33974359
2015-04-28,268.55,270.63,270.93,268.1,100500,0,0.538028169
2015-04-29,268.03,269.54,269.76,265.92,117300,0,0.59245283
2015-04-30,266.42,267.04,267.57,265.85,106900,1,0.560413355
2015-05-04,267.33,267.57,268.56,266.99,81000,0,0.57012987
2015-05-06,264.03,265.96,266.18,263.09,103500,0,0.452054795
2015-05-07,262.47,263.11,263.49,260.1,97300,1,0.35193133
2015-05-08,260.81,262.11,262.72,260.81,69300,1,0.484606613
2015-05-11,261.49,263.45,263.88,261.49,71200,0,0.721868365
2015-05-12,261.42,262.12,262.35,260.52,78800,1,0.43444227
2015-05-13,263.25,261.82,263.65,261.73,73200,1,0.427038627
2015-05-14,263.69,263.18,263.88,262.63,74900,0,0.51025641
2015-05-15,261.33,265.24,265.51,261.09,82200,0,0.604651163
2015-05-18,261.97,261.28,261.97,260.45,81400,1,0.566523605
2015-05-19,262.92,261.84,263.97,261.04,87500,1,0.525386313
2015-05-20,265.36,263.79,265.54,263.43,92500,0,0.628915663
2015-05-21,262.66,265.2,265.38,262.41,84400,1,0.598765432
2015-05-22,266.03,263.66,266.03,263.28,99700,1,0.745417515
2015-05-26,265.41,265.96,266.16,263.82,100600,0,0.747368421
2015-05-27,260.16,263.9,264.22,259.72,103000,1,0.745283019
2015-05-28,260.06,261.13,261.93,260.06,93500,0,0.839805825
2015-05-29,260.39,259.88,261.91,259.47,106300,0,0.791914388
2015-06-01,258.74,259.84,260,257.13,80700,0,0.577319588
2015-06-02,256.29,258.8,259.49,255.91,114400,0,0.639344262
2015-06-03,254.11,256.54,257.44,253.51,104000,1,0.612068966
2015-06-04,255.47,255.4,257.04,254.34,101200,0,0.625
2015-06-05,254.94,254.09,256.12,254,94500,0,0.544502618
2015-06-08,254.21,254.87,254.87,253.34,84600,0,0.527131783
2015-06-09,253.51,253.78,255.06,252.68,79000,0,0.687344913
2015-06-10,252.11,255.5,255.68,251.95,85500,0,0.592991914
2015-06-11,252.32,253.77,253.83,251.74,129100,0,0.569811321
2015-06-12,251.66,253.94,254.77,250.84,89300,0,0.676666667
2015-06-15,250.74,250.14,251.37,249.38,67700,0,0.764705882
2015-06-16,248.49,250.94,251,246.42,93100,1,0.455919395
2015-06-17,249.08,249.27,249.53,247.52,71000,1,0.432282004
2015-06-18,249.67,250.42,251.26,248.92,73000,1,0.521126761
2015-06-19,249.84,251.37,251.41,249.79,88000,1,0.661428571
2015-06-22,250.99,251.6,252.69,250.45,64100,1,0.54
2015-06-23,254.52,253.25,255.42,252.52,83600,1,0.482035928
2015-06-24,254.94,255.01,255.24,253.79,72500,0,0.3640553
2015-06-25,253.8,253.84,254.66,253.42,80900,0,0.510416667
2015-06-26,254.48,253.29,255.35,252.89,83200,0,0.404312668
2015-06-29,251.26,250.61,251.96,250.36,89000,0,0.529545455
2015-06-30,252.27,250.52,252.39,250.2,74400,1,0.633136095
2015-07-01,255.07,252.49,255.52,251.65,85700,1,0.775811209
2015-07-02,255.5,255.84,256.12,254.75,90000,0,0.655555556
2015-07-03,254.66,255.34,255.62,253.56,98700,0,0.545762712
2015-07-06,248.3,251.25,252.54,248.03,166900,0,0.579439252
2015-07-07,248.05,249.57,249.86,246.56,149300,0,0.610169492
2015-07-08,244.94,248.65,248.66,244.94,118800,0,0.621031746
2015-07-09,246.77,243.17,246.77,241.49,107100,1,0.715935335
2015-07-10,246.83,247.8,247.8,246.08,101700,1,0.566572238
2015-07-13,249.84,247,250.12,246.64,118900,1,0.526
2015-07-14,248.64,250.7,250.79,247.98,107000,1,0.524312896
2015-07-15,249.65,249.63,250.94,248.38,188300,1,0.739784946
2015-07-16,251.47,249.51,251.59,249.3,150400,0,0.518604651
2015-07-17,250.23,253.05,253.15,249.02,133700,0,0.54829932
2015-07-20,248.91,250.02,250.52,248.43,95300,1,0.582677165
2015-07-21,250.35,249.93,251.15,248.57,108200,0,0.480555556
2015-07-22,247.88,248.69,249.42,247.04,96000,0,0.492146597
2015-07-23,247.31,248.3,248.39,246.46,96300,0,0.597156398
2015-07-24,244.91,246.66,246.67,244.38,95700,0,0.566901408
2015-07-27,244.98,243.58,246.16,243.54,98400,0,0.532731377
2015-07-28,245.21,243.82,246.1,242.86,97400,1,0.512315271
2015-07-29,245.97,246.75,247.36,245.73,85200,0,0.664319249
2015-07-30,243.61,246.01,246.5,243.61,106300,0,0.428571429
2015-07-31,244.3,244.62,244.9,241.87,95300,0,0.659634318
2015-08-03,241.48,243.71,243.71,241.06,79200,1,0.614485981
2015-08-04,243.55,241.46,243.56,241.42,71900,1,0.638157895
2015-08-05,243.12,243.5,244.05,242.33,75400,0,0.593922652
2015-08-06,240.04,243.85,243.86,239.98,84400,0,0.520547945
2015-08-07,239.79,239.71,240.15,238.66,61300,0,0.590909091
2015-08-10,239.18,239.54,239.58,238.07,64300,0,0.628571429
2015-08-11,237.91,241.23,241.92,237.85,96600,0,0.592857143
2015-08-12,237.24,237.06,238.65,234.75,103200,1,0.537757437
2015-08-13,237.32,237.02,238.38,235.79,80800,0,0.444680851
2015-08-17,235.37,238.22,238.28,235.35,61900,0,0.464197531
2015-08-18,235.2,236.69,236.95,234.98,78900,0,0.546816479
2015-08-19,234.27,235.49,236.22,232.47,104700,0,0.440366972
2015-08-20,231.59,233.28,233.55,231.16,78600,0,0.435643564
2015-08-21,227.14,226.06,228.53,225.18,104100,0,0.509481669
2015-08-24,221.53,225.16,226.58,217.52,116300,1,0.522968198
2015-08-25,223.07,222.56,225.69,218.6,140900,1,0.542613636
2015-08-26,227.71,222.49,228.14,221.3,139300,1,0.494117647
2015-08-27,228.94,229.78,230.34,228.11,107300,1,0.512195122
2015-08-28,232.35,231.81,232.55,231.1,101400,0,0.52
2015-08-31,232.8,231.56,232.8,230.53,97900,0,0.463203463
2015-09-01,229.55,231.86,232.5,229.51,77900,0,0.446650124
2015-09-02,229.91,226.36,230.71,226.03,79200,1,0.508474576
2015-09-03,230.4,231.52,231.77,229.58,73800,0,0.553571429
2015-09-04,227.9,231.23,231.38,227.11,67200,0,0.584954604
2015-09-07,227.31,227.53,228.71,226.13,58900,1,0.63356974
2015-09-08,227.76,227.97,228.61,226.61,82200,1,0.509569378
2015-09-09,234.4,230.54,234.4,230.5,82800,1,0.539240506
2015-09-10,237.18,232.34,237.18,231.96,95400,1,0.569863014
2015-09-11,233.74,234.52,235.54,233.61,65000,0,0.672883788
2015-09-14,233.06,234.45,234.56,231.65,60700,1,0.530398323
2015-09-15,233.59,232.91,233.91,232.49,55600,1,0.548611111
2015-09-16,238.78,234.89,239.29,234.77,89200,1,0.507658643
2015-09-17,239.29,240.35,240.35,238.51,85400,0,0.565055762
2015-09-18,241.12,239.01,241.3,236.93,84500,0,0.580559254
2015-09-21,236.72,238.06,239.11,236.3,52000,1,0.51039261
2015-09-22,238.68,237.84,239.05,236.74,62100,0,0.562653563
2015-09-23,234.26,235.85,237.02,234.25,71100,0,0.576719577
2015-09-24,234.26,235.65,235.96,233.9,56900,0,0.625
2015-09-25,233.79,234.48,234.99,232.66,53200,0,0.624446413
2015-09-30,236.71,230.45,236.73,230.34,76000,1,0.524875622
2015-10-01,238.62,236.6,239.61,235.83,62000,1,0.604705882
2015-10-02,237.15,238.39,239.17,237.15,65100,1,0.681055156
2015-10-05,237.98,238.45,240.14,237.61,63800,1,0.565217391
2015-10-06,240.18,240.28,240.58,239.1,66700,1,0.478350515
2015-10-07,243.52,241.14,243.6,241.13,63800,1,0.489949749
2015-10-08,246.02,244.82,246.02,243.25,74500,1,0.524573721
2015-10-12,246.49,246.16,247.49,245.29,104400,0,0.375366569
2015-10-13,246.04,246.22,247.04,245.1,71200,0,0.512820513
2015-10-14,244.94,245.43,245.74,243.91,69300,1,0.472295515
2015-10-15,247.89,244.82,248.53,244.69,70500,1,0.516129032
2015-10-16,247.37,248.34,248.35,246.71,66000,0,0.567251462
2015-10-19,247.47,247.49,248.19,246.44,54600,1,0.601960784
2015-10-20,248.53,247.57,248.72,247.07,78200,1,0.544776119
2015-10-21,249.25,248.4,250.59,247.93,83500,0,0.726530612
